Starting benchmark...
Initializing database schema...
creating new srmap
creating new srmap
Populating classes...
Populating posts... with 1000000
Inserted 11000 Role in 0.01s (769856.24 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 0.00s (363499.03 PUTs/sec)!
Inserted 1000 Class in 0.00s (373201.59 PUTs/sec)!
Inserted 1000000 Post in 3.00s (333693.89 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 777 took 0.34s!
Migration 778 took 0.34s!
Migration 779 took 0.34s!
Migration 780 took 0.34s!
Migration 781 took 0.33s!
Migration 782 took 0.34s!
Migration 783 took 0.34s!
Migration 784 took 0.36s!
Migration 785 took 0.34s!
Migration 786 took 0.35s!
Migration 787 took 0.34s!
Migration 788 took 0.36s!
Migration 789 took 0.35s!
Migration 790 took 0.35s!
Migration 791 took 0.34s!
Migration 792 took 0.34s!
Migration 793 took 0.34s!
Migration 794 took 0.34s!
Migration 795 took 0.35s!
Migration 796 took 0.34s!
Migration 797 took 0.35s!
Migration 798 took 0.35s!
Migration 799 took 0.35s!
Migration 800 took 0.34s!
Migration 801 took 0.35s!
Migration 802 took 0.34s!
Migration 803 took 0.35s!
Migration 804 took 0.36s!
Migration 805 took 0.35s!
Migration 806 took 0.35s!
Migration 807 took 0.36s!
Migration 808 took 0.35s!
Migration 809 took 0.35s!
Migration 810 took 0.35s!
Migration 811 took 0.35s!
Migration 812 took 0.35s!
Migration 813 took 0.34s!
Migration 814 took 0.35s!
Migration 815 took 0.34s!
Migration 816 took 0.35s!
Migration 817 took 0.35s!
Migration 818 took 0.35s!
Migration 819 took 0.35s!
Migration 820 took 0.35s!
Migration 821 took 0.35s!
Migration 822 took 0.35s!
Migration 823 took 0.35s!
Migration 824 took 0.35s!
Migration 825 took 0.35s!
Migration 826 took 0.35s!
Migration 827 took 0.35s!
Migration 828 took 0.36s!
Migration 829 took 0.35s!
Migration 830 took 0.35s!
Migration 831 took 0.36s!
Migration 832 took 0.35s!
Migration 833 took 0.36s!
Migration 834 took 0.36s!
Migration 835 took 0.35s!
Migration 836 took 0.35s!
Migration 837 took 0.35s!
Migration 838 took 0.36s!
Migration 839 took 0.35s!
Migration 840 took 0.36s!
Migration 841 took 0.36s!
Migration 842 took 0.35s!
Migration 843 took 0.36s!
Migration 844 took 0.35s!
Migration 845 took 0.36s!
Migration 846 took 0.36s!
Migration 847 took 0.36s!
Migration 848 took 0.36s!
Migration 849 took 0.36s!
Migration 850 took 0.35s!
Migration 851 took 0.36s!
Migration 852 took 0.36s!
Migration 853 took 0.35s!
Migration 854 took 0.36s!
Migration 855 took 0.36s!
Migration 856 took 0.36s!
Migration 857 took 0.36s!
Migration 858 took 0.36s!
Migration 859 took 0.37s!
Migration 860 took 0.36s!
Migration 861 took 0.36s!
Migration 862 took 0.36s!
Migration 863 took 0.36s!
Migration 864 took 0.36s!
Migration 865 took 0.36s!
Migration 866 took 0.37s!
Migration 867 took 0.37s!
Migration 868 took 0.36s!
Migration 869 took 0.36s!
Migration 870 took 0.38s!
Migration 871 took 0.37s!
Migration 872 took 0.37s!
Migration 873 took 0.37s!
Migration 874 took 0.38s!
Migration 875 took 0.37s!
Migration 876 took 0.37s!
Migration 877 took 0.36s!
Migration 878 took 0.37s!
Migration 879 took 0.36s!
Migration 880 took 0.37s!
Migration 881 took 0.36s!
Migration 882 took 0.36s!
Migration 883 took 0.37s!
Migration 884 took 0.37s!
Migration 885 took 0.37s!
Migration 886 took 0.37s!
Migration 887 took 0.37s!
Migration 888 took 0.36s!
Migration 889 took 0.38s!
Migration 890 took 0.37s!
Migration 891 took 0.37s!
Migration 892 took 0.37s!
Migration 893 took 0.37s!
Migration 894 took 0.37s!
Migration 895 took 0.37s!
Migration 896 took 0.37s!
Migration 897 took 0.37s!
Migration 898 took 0.37s!
Migration 899 took 0.37s!
Migration 900 took 0.37s!
Migration 901 took 0.37s!
Migration 902 took 0.38s!
Migration 903 took 0.37s!
Migration 904 took 0.37s!
Migration 905 took 0.38s!
Migration 906 took 0.37s!
Migration 907 took 0.37s!
Migration 908 took 0.38s!
Migration 909 took 0.38s!
Migration 910 took 0.38s!
Migration 911 took 0.37s!
Migration 912 took 0.37s!
Migration 913 took 0.38s!
Migration 914 took 0.38s!
Migration 915 took 0.38s!
Migration 916 took 0.38s!
Migration 917 took 0.38s!
Migration 918 took 0.38s!
Migration 919 took 0.39s!
Migration 920 took 0.38s!
Migration 921 took 0.38s!
Migration 922 took 0.37s!
Migration 923 took 0.38s!
Migration 924 took 0.39s!
Migration 925 took 0.38s!
Migration 926 took 0.38s!
Migration 927 took 0.38s!
Migration 928 took 0.38s!
Migration 929 took 0.38s!
Migration 930 took 0.39s!
Migration 931 took 0.39s!
Migration 932 took 0.39s!
