Starting benchmark...
Initializing database schema...
Populating posts... with 100000
Populating classes...
Inserted 2000 Role in 2.93s (683.72 PUTs/sec)!
Waiting for groups to be constructed...
Inserted 1000 User in 1.49s (669.34 PUTs/sec)!
Inserted 1000 Class in 1.45s (687.47 PUTs/sec)!
Inserted 100000 Post in 129.64s (771.35 PUTs/sec)!
Waiting for posts to propagate...
Finished writing! Sleeping for 2 seconds...
Login users...
Migration 368 took 2.47s!
Migration 369 took 2.45s!
Migration 370 took 2.49s!
Migration 371 took 2.48s!
Migration 372 took 2.48s!
Migration 373 took 2.48s!
Migration 374 took 2.55s!
Migration 375 took 2.50s!
Migration 376 took 2.49s!
Migration 377 took 2.52s!
Migration 378 took 2.52s!
Migration 379 took 2.51s!
Migration 380 took 2.52s!
Migration 381 took 2.50s!
Migration 382 took 2.56s!
Migration 383 took 2.58s!
Migration 384 took 2.57s!
Migration 385 took 2.57s!
Migration 386 took 2.58s!
Migration 387 took 2.60s!
Migration 388 took 2.57s!
Migration 389 took 2.61s!
Migration 390 took 2.60s!
Migration 391 took 2.64s!
Migration 392 took 2.65s!
Migration 393 took 2.63s!
Migration 394 took 2.62s!
Migration 395 took 2.64s!
Migration 396 took 2.67s!
Migration 397 took 2.61s!
Migration 398 took 2.67s!
Migration 399 took 2.66s!
Migration 400 took 2.69s!
Migration 401 took 2.71s!
Migration 402 took 2.72s!
Migration 403 took 2.76s!
Migration 404 took 2.76s!
Migration 405 took 2.77s!
Migration 406 took 2.72s!
Migration 407 took 2.74s!
Migration 408 took 2.71s!
Migration 409 took 2.70s!
Migration 410 took 2.72s!
Migration 411 took 2.69s!
Migration 412 took 2.79s!
Migration 413 took 2.80s!
Migration 414 took 2.78s!
Migration 415 took 2.75s!
Migration 416 took 2.79s!
Migration 417 took 2.80s!
Migration 418 took 2.78s!
Migration 419 took 2.79s!
Migration 420 took 2.78s!
Migration 421 took 2.83s!
Migration 422 took 2.85s!
Migration 423 took 2.83s!
Migration 424 took 2.83s!
Migration 425 took 2.88s!
Migration 426 took 2.91s!
Migration 427 took 2.89s!
Migration 428 took 2.88s!
Migration 429 took 2.84s!
Migration 430 took 2.91s!
Migration 431 took 2.96s!
Migration 432 took 2.85s!
Migration 433 took 2.92s!
Migration 434 took 2.91s!
Migration 435 took 2.91s!
Migration 436 took 2.91s!
Migration 437 took 2.88s!
Migration 438 took 2.98s!
Migration 439 took 3.02s!
Migration 440 took 2.94s!
Migration 441 took 3.05s!
Migration 442 took 2.93s!
Migration 443 took 3.03s!
Migration 444 took 3.06s!
Migration 445 took 3.03s!
Migration 446 took 3.00s!
Migration 447 took 2.98s!
Migration 448 took 2.99s!
Migration 449 took 3.04s!
Migration 450 took 2.96s!
Migration 451 took 3.05s!
Migration 452 took 3.10s!
Migration 453 took 3.04s!
Migration 454 took 3.03s!
Migration 455 took 3.03s!
Migration 456 took 3.07s!
Migration 457 took 3.16s!
Migration 458 took 3.08s!
Migration 459 took 3.11s!
Migration 460 took 3.16s!
Migration 461 took 3.13s!
Migration 462 took 3.08s!
Migration 463 took 3.12s!
Migration 464 took 3.10s!
Migration 465 took 3.14s!
Migration 466 took 3.13s!
Migration 467 took 3.14s!
Migration 468 took 3.13s!
Migration 469 took 3.19s!
Migration 470 took 3.12s!
Migration 471 took 3.23s!
Migration 472 took 3.21s!
Migration 473 took 3.19s!
Migration 474 took 3.21s!
Migration 475 took 3.18s!
Migration 476 took 3.19s!
Migration 477 took 3.19s!
Migration 478 took 3.27s!
Migration 479 took 3.19s!
Migration 480 took 3.29s!
Migration 481 took 3.27s!
Migration 482 took 3.25s!
Migration 483 took 3.23s!
Migration 484 took 3.22s!
Migration 485 took 3.23s!
Migration 486 took 3.22s!
Migration 487 took 3.48s!
Migration 488 took 3.30s!
Migration 489 took 3.34s!
Migration 490 took 3.30s!
Migration 491 took 3.26s!
Migration 492 took 3.35s!
Migration 493 took 3.32s!
Migration 494 took 3.37s!
Migration 495 took 3.34s!
Migration 496 took 3.37s!
Migration 497 took 3.34s!
Migration 498 took 3.41s!
Migration 499 took 3.36s!
Migration 500 took 3.36s!
Migration 501 took 3.36s!
Migration 502 took 3.37s!
Migration 503 took 3.35s!
Migration 504 took 3.42s!
Migration 505 took 3.40s!
Migration 506 took 3.37s!
Migration 507 took 3.50s!
Migration 508 took 3.49s!
Migration 509 took 3.39s!
Migration 510 took 3.42s!
Migration 511 took 3.54s!
Migration 512 took 3.46s!
Migration 513 took 3.51s!
Migration 514 took 3.46s!
Migration 515 took 3.46s!
Migration 516 took 3.52s!
Migration 517 took 3.56s!
Migration 518 took 3.44s!
Migration 519 took 3.52s!
Migration 520 took 3.51s!
Migration 521 took 3.57s!
Migration 522 took 3.55s!
Migration 523 took 3.51s!
Migration 524 took 3.56s!
Migration 525 took 3.55s!
Migration 526 took 3.59s!
Migration 527 took 3.60s!
Migration 528 took 3.62s!
Migration 529 took 3.61s!
Migration 530 took 3.62s!
Migration 531 took 3.61s!
Migration 532 took 3.61s!
Migration 533 took 3.67s!
Migration 534 took 3.62s!
Migration 535 took 3.66s!
Migration 536 took 3.65s!
Migration 537 took 3.68s!
Migration 538 took 3.62s!
Migration 539 took 3.66s!
Migration 540 took 3.71s!
Migration 541 took 3.75s!
Migration 542 took 3.74s!
Migration 543 took 3.74s!
Migration 544 took 3.73s!
Migration 545 took 3.69s!
Migration 546 took 3.72s!
Migration 547 took 3.66s!
Migration 548 took 3.68s!
Migration 549 took 3.70s!
Migration 550 took 3.75s!
Migration 551 took 3.73s!
Migration 552 took 3.72s!
Migration 553 took 3.79s!
Migration 554 took 3.77s!
Migration 555 took 3.71s!
Migration 556 took 3.78s!
Migration 557 took 3.81s!
Migration 558 took 3.74s!
Migration 559 took 3.81s!
Migration 560 took 3.73s!
Migration 561 took 3.83s!
Migration 562 took 3.81s!
Migration 563 took 3.81s!
Migration 564 took 3.82s!
Migration 565 took 3.82s!
Migration 566 took 3.79s!
Migration 567 took 3.84s!
Migration 568 took 3.83s!
Migration 569 took 3.87s!
Migration 570 took 3.83s!
Migration 571 took 3.83s!
Migration 572 took 3.83s!
Migration 573 took 3.86s!
Migration 574 took 3.93s!
Migration 575 took 3.92s!
Migration 576 took 4.01s!
Migration 577 took 3.92s!
Migration 578 took 3.94s!
Migration 579 took 3.87s!
Migration 580 took 3.88s!
Migration 581 took 3.97s!
Migration 582 took 3.95s!
Migration 583 took 3.92s!
Migration 584 took 3.93s!
Migration 585 took 3.99s!
Migration 586 took 4.20s!
Migration 587 took 4.03s!
Migration 588 took 3.95s!
Migration 589 took 4.06s!
Migration 590 took 4.01s!
Migration 591 took 3.97s!
Migration 592 took 3.99s!
Migration 593 took 4.04s!
Migration 594 took 4.06s!
Migration 595 took 3.99s!
Migration 596 took 4.05s!
Migration 597 took 4.04s!
Migration 598 took 4.05s!
Migration 599 took 3.98s!
Migration 600 took 4.06s!
Migration 601 took 4.07s!
Migration 602 took 4.06s!
Migration 603 took 4.04s!
Migration 604 took 4.01s!
Migration 605 took 4.11s!
Migration 606 took 4.09s!
Migration 607 took 4.12s!
Migration 608 took 4.15s!
Migration 609 took 4.07s!
Migration 610 took 4.22s!
Migration 611 took 4.16s!
Migration 612 took 4.06s!
Migration 613 took 4.19s!
Migration 614 took 4.14s!
Migration 615 took 4.15s!
Migration 616 took 4.27s!
Migration 617 took 4.14s!
Migration 618 took 4.14s!
Migration 619 took 4.13s!
Migration 620 took 4.15s!
Migration 621 took 4.20s!
Migration 622 took 4.15s!
Migration 623 took 4.23s!
Migration 624 took 4.16s!
Migration 625 took 4.22s!
Migration 626 took 4.11s!
Migration 627 took 4.30s!
Migration 628 took 4.16s!
Migration 629 took 4.22s!
Migration 630 took 4.21s!
Migration 631 took 4.22s!
Migration 632 took 4.19s!
Migration 633 took 4.27s!
Migration 634 took 4.29s!
Migration 635 took 4.28s!
Migration 636 took 4.25s!
Migration 637 took 4.27s!
Migration 638 took 4.23s!
Migration 639 took 4.30s!
Migration 640 took 4.23s!
Migration 641 took 4.28s!
Migration 642 took 4.30s!
Migration 643 took 4.24s!
Migration 644 took 4.37s!
Migration 645 took 4.36s!
Migration 646 took 4.34s!
Migration 647 took 4.30s!
Migration 648 took 4.39s!
Migration 649 took 4.37s!
Migration 650 took 4.28s!
Migration 651 took 4.38s!
Migration 652 took 4.33s!
Migration 653 took 4.40s!
Migration 654 took 4.35s!
Migration 655 took 4.32s!
Migration 656 took 4.43s!
Migration 657 took 4.35s!
Migration 658 took 4.47s!
Migration 659 took 4.48s!
Migration 660 took 4.34s!
Migration 661 took 4.38s!
Migration 662 took 4.47s!
Migration 663 took 4.40s!
Migration 664 took 4.37s!
Migration 665 took 4.51s!
Migration 666 took 4.41s!
Migration 667 took 4.41s!
Migration 668 took 4.48s!
Migration 669 took 4.36s!
Migration 670 took 4.46s!
Migration 671 took 4.47s!
Migration 672 took 4.44s!
Migration 673 took 4.47s!
Migration 674 took 4.43s!
Migration 675 took 4.52s!
Migration 676 took 4.51s!
Migration 677 took 4.44s!
Migration 678 took 4.46s!
Migration 679 took 4.44s!
Migration 680 took 4.44s!
Migration 681 took 4.49s!
Migration 682 took 4.53s!
Migration 683 took 4.59s!
Migration 684 took 4.56s!
Migration 685 took 4.56s!
Migration 686 took 4.57s!
Migration 687 took 4.53s!
Migration 688 took 4.52s!
Migration 689 took 4.50s!
Migration 690 took 4.47s!
Migration 691 took 4.67s!
Migration 692 took 4.55s!
Migration 693 took 4.62s!
Migration 694 took 4.61s!
Migration 695 took 4.57s!
Migration 696 took 4.58s!
Migration 697 took 4.60s!
Migration 698 took 4.65s!
Migration 699 took 4.69s!
Migration 700 took 4.60s!
Migration 701 took 4.67s!
Migration 702 took 4.63s!
Migration 703 took 4.64s!
Migration 704 took 4.61s!
Migration 705 took 4.66s!
Migration 706 took 4.61s!
Migration 707 took 4.66s!
Migration 708 took 4.58s!
Migration 709 took 4.62s!
Migration 710 took 4.78s!
Migration 711 took 4.67s!
Migration 712 took 4.71s!
Migration 713 took 4.74s!
Migration 714 took 4.72s!
Migration 715 took 4.75s!
Migration 716 took 4.78s!
Migration 717 took 4.77s!
Migration 718 took 4.69s!
Migration 719 took 4.70s!
Migration 720 took 4.74s!
Migration 721 took 4.72s!
Migration 722 took 4.70s!
Migration 723 took 4.68s!
Migration 724 took 4.73s!
Migration 725 took 4.67s!
Migration 726 took 4.79s!
Migration 727 took 4.78s!
Migration 728 took 4.76s!
Migration 729 took 4.75s!
Migration 730 took 4.83s!
Migration 731 took 4.74s!
Migration 732 took 4.79s!
Migration 733 took 4.87s!
Migration 734 took 4.81s!
Migration 735 took 4.82s!
Migration 736 took 4.78s!
Migration 737 took 4.73s!
Migration 738 took 4.75s!
Migration 739 took 4.88s!
Migration 740 took 4.86s!
Migration 741 took 4.79s!
Migration 742 took 4.97s!
Migration 743 took 4.83s!
Migration 744 took 4.81s!
Migration 745 took 4.81s!
Migration 746 took 4.80s!
Migration 747 took 4.89s!
Migration 748 took 4.91s!
Migration 749 took 4.81s!
Migration 750 took 4.88s!
Migration 751 took 4.90s!
Migration 752 took 4.85s!
Migration 753 took 4.94s!
Migration 754 took 4.80s!
Migration 755 took 4.92s!
Migration 756 took 4.94s!
Migration 757 took 4.96s!
Migration 758 took 4.94s!
Migration 759 took 4.94s!
Migration 760 took 4.90s!
Migration 761 took 4.92s!
Migration 762 took 4.91s!
Migration 763 took 4.97s!
Migration 764 took 4.96s!
Migration 765 took 4.99s!
Migration 766 took 4.95s!
Migration 767 took 4.92s!
Migration 768 took 5.03s!
Migration 769 took 4.94s!
Migration 770 took 4.95s!
Migration 771 took 4.98s!
Migration 772 took 4.97s!
Migration 773 took 4.97s!
Migration 774 took 4.99s!
Migration 775 took 5.03s!
Migration 776 took 5.01s!
Migration 777 took 5.01s!
Migration 778 took 5.10s!
Migration 779 took 5.02s!
Migration 780 took 4.97s!
Migration 781 took 5.08s!
Migration 782 took 5.11s!
Migration 783 took 4.99s!
Migration 784 took 5.11s!
Migration 785 took 5.21s!
Migration 786 took 5.05s!
Migration 787 took 5.08s!
Migration 788 took 5.07s!
Migration 789 took 5.17s!
Migration 790 took 5.05s!
Migration 791 took 5.05s!
Migration 792 took 5.14s!
Migration 793 took 5.09s!
Migration 794 took 5.15s!
Migration 795 took 5.17s!
Migration 796 took 5.12s!
Migration 797 took 5.15s!
Migration 798 took 5.10s!
Migration 799 took 5.18s!
Migration 800 took 5.07s!
Migration 801 took 5.08s!
Migration 802 took 5.20s!
Migration 803 took 5.08s!
Migration 804 took 5.26s!
Migration 805 took 5.21s!
Migration 806 took 5.22s!
Migration 807 took 5.23s!
Migration 808 took 5.20s!
Migration 809 took 5.24s!
Migration 810 took 5.27s!
Migration 811 took 5.30s!
Migration 812 took 5.13s!
Migration 813 took 5.15s!
Migration 814 took 5.16s!
Migration 815 took 5.37s!
Migration 816 took 5.16s!
Migration 817 took 5.26s!
Migration 818 took 5.22s!
Migration 819 took 5.19s!
Migration 820 took 5.24s!
Migration 821 took 5.32s!
Migration 822 took 5.27s!
Migration 823 took 5.31s!
Migration 824 took 5.31s!
Migration 825 took 5.29s!
Migration 826 took 5.27s!
Migration 827 took 5.24s!
Migration 828 took 5.35s!
Migration 829 took 5.36s!
Migration 830 took 5.39s!
Migration 831 took 5.38s!
Migration 832 took 5.35s!
Migration 833 took 5.38s!
Migration 834 took 5.36s!
Migration 835 took 5.39s!
Migration 836 took 5.28s!
Migration 837 took 5.38s!
Migration 838 took 5.47s!
Migration 839 took 5.35s!
Migration 840 took 5.26s!
Migration 841 took 5.39s!
Migration 842 took 5.37s!
Migration 843 took 5.37s!
Migration 844 took 5.38s!
Migration 845 took 5.33s!
Migration 846 took 5.38s!
Migration 847 took 5.59s!
Migration 848 took 5.38s!
Migration 849 took 5.35s!
Migration 850 took 5.46s!
Migration 851 took 5.38s!
Migration 852 took 5.46s!
Migration 853 took 5.46s!
Migration 854 took 5.46s!
Migration 855 took 5.49s!
Migration 856 took 5.62s!
Migration 857 took 5.46s!
Migration 858 took 5.41s!
Migration 859 took 5.56s!
Migration 860 took 5.53s!
Migration 861 took 5.50s!
Migration 862 took 5.47s!
Migration 863 took 5.48s!
Migration 864 took 5.48s!
Migration 865 took 5.44s!
Migration 866 took 5.51s!
Migration 867 took 5.58s!
Migration 868 took 5.42s!
Migration 869 took 5.46s!
Migration 870 took 5.61s!
Migration 871 took 5.64s!
Migration 872 took 5.57s!
Migration 873 took 5.57s!
Migration 874 took 5.61s!
Migration 875 took 5.61s!
Migration 876 took 5.61s!
Migration 877 took 5.67s!
Migration 878 took 5.63s!
Migration 879 took 5.53s!
Migration 880 took 5.59s!
Migration 881 took 5.59s!
Migration 882 took 5.60s!
Migration 883 took 5.61s!
Migration 884 took 5.69s!
Migration 885 took 5.65s!
Migration 886 took 5.59s!
Migration 887 took 5.59s!
Migration 888 took 5.58s!
Migration 889 took 5.56s!
Migration 890 took 5.56s!
Migration 891 took 5.62s!
Migration 892 took 5.73s!
Migration 893 took 5.58s!
Migration 894 took 5.69s!
Migration 895 took 5.62s!
Migration 896 took 5.60s!
Migration 897 took 5.70s!
Migration 898 took 5.76s!
Migration 899 took 5.67s!
Migration 900 took 5.68s!
Migration 901 took 5.75s!
Migration 902 took 5.67s!
Migration 903 took 5.72s!
Migration 904 took 5.66s!
Migration 905 took 5.74s!
Migration 906 took 5.76s!
Migration 907 took 5.71s!
Migration 908 took 5.71s!
Migration 909 took 5.74s!
Migration 910 took 5.83s!
Migration 911 took 5.70s!
Migration 912 took 5.77s!
Migration 913 took 5.87s!
Migration 914 took 5.74s!
Migration 915 took 5.76s!
Migration 916 took 5.80s!
Migration 917 took 5.81s!
Migration 918 took 5.86s!
Migration 919 took 5.82s!
Migration 920 took 5.81s!
Migration 921 took 5.81s!
Migration 922 took 5.72s!
Migration 923 took 5.79s!
Migration 924 took 5.84s!
Migration 925 took 5.86s!
Migration 926 took 5.91s!
Migration 927 took 5.80s!
Migration 928 took 5.87s!
Migration 929 took 5.82s!
Migration 930 took 5.90s!
Migration 931 took 5.92s!
Migration 932 took 5.79s!
Migration 933 took 5.85s!
Migration 934 took 5.79s!
Migration 935 took 5.90s!
Migration 936 took 5.94s!
Migration 937 took 5.95s!
Migration 938 took 5.90s!
